address,areas,bathrooms,bedrooms,parking-spaces,zap_price_pmo,zap_price_cls,zap_price_iptu,latitude,longitude,street,neighborhood,r$_pmo,usd_pmo
"Rua Arquias Cordeiro, Engenho Novo",60 m²,1.0,2.0,1.0,R$ 750 /mês,condomínio R$ 835,IPTU R$ 93,-22.9039197,-43.2733079,Rua Arquias Cordeiro, Engenho Novo,750,174.33
"Rua Paulo Moreira da Silva, Taquara",37 m²,,1.0,,R$ 650 /mês,condomínio R$ 290,,-22.937847100000003,-43.3650124,Rua Paulo Moreira da Silva, Taquara,650,151.09
"Rua Retiro dos Artistas, Pechincha",66 m²,2.0,2.0,1.0,R$ 1.600 /mês,condomínio R$ 680,IPTU R$ 59,-22.930480300000003,-43.3555556,Rua Retiro dos Artistas, Pechincha,1600,371.91
"Rua Sambaíba, Leblon",350 m²,,5.0,4.0,R$ 9.000 /mês,condomínio R$ 2.442,IPTU R$ 817,-22.9865648,-43.2324401,Rua Sambaíba, Leblon,9000,2092.01
"São Conrado, Rio de Janeiro",478 m²,6.0,5.0,4.0,R$ 15.000 /mês,condomínio R$ 8.160,IPTU R$ 3.000,-22.9913592,-43.2675329,São Conrado, Rio de Janeiro,15000,3486.69
"Rua Leopoldo Miguez, Copacabana",45 m²,1.0,1.0,,R$ 1.300 /mês,condomínio R$ 850,IPTU R$ 108,-22.975793300000003,-43.1912304,Rua Leopoldo Miguez, Copacabana,1300,302.18
"Rua Timóteo da Costa, Leblon",150 m²,2.0,3.0,2.0,R$ 6.800 /mês,condomínio R$ 2.200,IPTU R$ 594,-22.984338600000005,-43.2328045,Rua Timóteo da Costa, Leblon,6800,1580.63
"Rua Mário Covas Júnior, Barra da Tijuca",105 m²,3.0,3.0,2.0,R$ 3.500 /mês,condomínio R$ 1.200,IPTU R$ 250,-23.0056458,-43.330188299999996,Rua Mário Covas Júnior, Barra da Tijuca,3500,813.56
"Rua Álvaro Ramos, Botafogo",86 m²,2.0,3.0,1.0,R$ 4.000 /mês,condomínio R$ 1.460,IPTU R$ 255,-22.957790399999997,-43.18483079999999,Rua Álvaro Ramos, Botafogo,4000,929.78
"Rua Silvia Pozzano, Recreio dos Bandeirantes",91 m²,2.0,3.0,2.0,R$ 1.850 /mês,condomínio R$ 1.050,,-23.0066417,-43.4845412,Rua Silvia Pozzano, Recreio dos Bandeirantes,1850,430.03
"Rua Hans Staden, Botafogo",110 m²,2.0,3.0,,R$ 2.800 /mês,condomínio R$ 100,IPTU R$ 160,-22.9567449,-43.19296920000001,Rua Hans Staden, Botafogo,2800,650.85
"Praia Botafogo, Botafogo",190 m²,3.0,4.0,2.0,R$ 9.300 /mês,condomínio R$ 2.500,IPTU R$ 375,-22.9454241,-43.18079099640421,Praia Botafogo, Botafogo,9300,2161.75
"Avenida Afrânio de Melo Franco, Leblon",120 m²,3.0,4.0,1.0,R$ 10.000 /mês,condomínio R$ 1.890,IPTU R$ 444,-22.9790043,-43.21843320000001,Avenida Afrânio de Melo Franco, Leblon,10000,2324.46
"Avenida Geremário Dantas, Pechincha",53 m²,2.0,2.0,1.0,R$ 650 /mês,condomínio R$ 685,,-22.9248493,-43.3596031,Avenida Geremário Dantas, Pechincha,650,151.09
"Avenida Borges de Medeiros, Lagoa",168 m²,1.0,3.0,2.0,R$ 8.500 /mês,condomínio R$ 2.300,,-22.9758762,-43.2187075,Avenida Borges de Medeiros, Lagoa,8500,1975.79
"Rua Baronesa de Poconé, Lagoa",83 m²,2.0,2.0,1.0,R$ 2.200 /mês,condomínio R$ 1.631,IPTU R$ 316,-6.5899848,-37.9149013,Rua Baronesa de Poconé, Lagoa,2200,511.38
"Rua General Roca, Tijuca",50 m²,1.0,1.0,,R$ 1.390 /mês,condomínio R$ 750,IPTU R$ 68,-22.9240387,-43.234421399999995,Rua General Roca, Tijuca,1390,323.1
"Rua Lúcio de Mendonça, Maracanã",84 m²,1.0,2.0,1.0,R$ 1.900 /mês,condomínio R$ 858,IPTU R$ 116,-22.915926199999998,-43.2239005,Rua Lúcio de Mendonça, Maracanã,1900,441.65
"Rua Visconde de Pirajá, Ipanema",104 m²,2.0,3.0,,R$ 5.000 /mês,condomínio R$ 1.580,IPTU R$ 458,-22.9847565,-43.19540679999999,Rua Visconde de Pirajá, Ipanema,5000,1162.23
"Estrada da Gávea, São Conrado",176 m²,4.0,4.0,,R$ 4.500 /mês,condomínio R$ 2.000,IPTU R$ 4.835,-22.995434399999997,-43.25830379999999,Estrada da Gávea, São Conrado,4500,1046.01
"Travessa Barros Leite, Quintino Bocaiúva",45 m²,1.0,2.0,,R$ 500 /mês,condomínio R$ 300,,-22.8909544,-43.318399400000004,Travessa Barros Leite, Quintino Bocaiúva,500,116.22
"Rua General Goes Monteiro, Botafogo",94 m²,,3.0,1.0,R$ 3.000 /mês,condomínio R$ 1.500,IPTU R$ 231,-22.9557844,-43.1779417,Rua General Goes Monteiro, Botafogo,3000,697.34
"Avenida Ataulfo de Paiva, Leblon",61 m²,1.0,2.0,,R$ 2.600 /mês,condomínio R$ 745,IPTU R$ 2.415,-22.984592000000003,-43.2241076,Avenida Ataulfo de Paiva, Leblon,2600,604.36
"Rua Aquidabã, Méier",110 m²,1.0,2.0,,R$ 1.000 /mês,condomínio R$ 795,IPTU R$ 100,-22.9070091,-43.2833301,Rua Aquidabã, Méier,1000,232.45
"Rua Clarice Índio do Brasil, Botafogo",92 m²,3.0,2.0,1.0,R$ 3.200 /mês,condomínio R$ 1.056,IPTU R$ 220,-22.9398262,-43.1795724,Rua Clarice Índio do Brasil, Botafogo,3200,743.83
"Rua Domingos Ferreira, Copacabana",200 m²,2.0,3.0,1.0,R$ 6.000 /mês,condomínio R$ 2.186,IPTU R$ 640,-22.9721962,-43.1865848,Rua Domingos Ferreira, Copacabana,6000,1394.68
